run_index,formal_result,manuscript_evidence_pending,data_seed,train_seed,method,iterations
1,true,true,26073111,26073201,baseline,2000
2,true,true,26073111,26073201,mamba_concat,2000
3,true,true,26073111,26073219,baseline,2000
4,true,true,26073111,26073219,mamba_concat,2000
5,true,true,26073123,26073201,baseline,2000
6,true,true,26073123,26073201,mamba_concat,2000
7,true,true,26073123,26073219,baseline,2000
8,true,true,26073123,26073219,mamba_concat,2000
9,true,true,26073137,26073201,baseline,2000
10,true,true,26073137,26073201,mamba_concat,2000
11,true,true,26073137,26073219,baseline,2000
12,true,true,26073137,26073219,mamba_concat,2000
13,true,true,26073151,26073201,baseline,2000
14,true,true,26073151,26073201,mamba_concat,2000
15,true,true,26073151,26073219,baseline,2000
16,true,true,26073151,26073219,mamba_concat,2000
17,true,true,26073167,26073201,baseline,2000
18,true,true,26073167,26073201,mamba_concat,2000
19,true,true,26073167,26073219,baseline,2000
20,true,true,26073167,26073219,mamba_concat,2000
