auroc_partial,auroc_total,dataset,mask_c_delta,mask_x_delta,method,missing_route,mix_entropy_median,mix_max_source_share_median,mse,partial_total_jaccard,partial_total_r,root,run_id,shuffle_c_delta,shuffle_x_delta,tail_max,tail_median,train_seed,wall_seconds
,,mocap_run,,1.9466495588421822,baseline,0.0,,,0.06908320635557175,,1.0,audit_current_commit_seed0_baseline,mocap_run__baseline__ts0__it1000__H64,,2.0681898668408394,0.0,0.0,0,53.93590869999025
,,mocap_salsa,,1.2528032585978508,baseline,0.0,,,0.10109943896532059,,1.0,audit_current_commit_seed0_baseline,mocap_salsa__baseline__ts0__it1000__H64,,2.0191395804286003,0.0,0.0,0,54.062539100064896
0.5711805555555552,0.5711805555555552,netsim48,,1.7507639566902071,baseline,0.0,,,0.0004925092216581106,1.0,1.0,audit_current_commit_seed0_baseline,netsim48__baseline__ts0__it1000__H64,,2.2286821047309786,0.0,0.0,0,27.232131600030698
0.4939236111111109,0.4939236111111109,netsim49,,2.6163342219078913,baseline,0.0,,,0.0006463307654485106,1.0,1.0,audit_current_commit_seed0_baseline,netsim49__baseline__ts0__it1000__H64,,2.2851319533074275,0.0,0.0,0,25.817095599952154
,,mocap_run,0.7179972641170025,1.2402173392474651,concat,0.9241135615770188,0.980487758675266,0.05724435858428478,0.0390080101788044,,0.6687173683141259,audit_current_commit_seed0_concat,mocap_run__concat__ts0__it1000__H64,1.1068537347018719,1.5600501410663128,0.6329798122221811,0.3744911365510097,0,82.00234959996305
,,mocap_salsa,0.9057146571576595,1.4235635660588741,concat,0.8992363534871627,0.9818230074352519,0.05574272386729717,0.05974164977669716,,0.4920218943977384,audit_current_commit_seed0_concat,mocap_salsa__concat__ts0__it1000__H64,1.2946442030370235,1.7819094322621822,0.6147631240417455,0.42314237711984803,0,82.55569429998286
0.5014467592592591,0.5237268518518513,netsim48,0.8618003775009129,1.6283388782867405,concat,0.8098432436111488,0.9688549054271806,0.12001476436853409,3.832088623312302e-05,0.2,0.34369964404283493,audit_current_commit_seed0_concat,netsim48__concat__ts0__it1000__H64,1.1666654993423435,1.768009727133176,0.4778664543102531,0.2756227717905353,0,46.824816600070335
0.3619791666666664,0.3515624999999998,netsim49,1.072354639240075,1.6666221267660148,concat,0.8370397183737124,0.9634545273627413,0.1265743300318718,8.848839206621051e-05,0.058823529411764705,0.23482969942232165,audit_current_commit_seed0_concat,netsim49__concat__ts0__it1000__H64,1.4198165780981071,1.8789542562444694,0.5679597506497835,0.2786488748479902,0,44.17419820011128
,,mocap_run,,1.1638180017471313,baseline,0.0,,,0.06502079963684082,,1.0,audit_cross_domain_it1000_stability,mocap_run__baseline__ts1__it1000__H64,,1.9174317121505737,0.0,0.0,1,53.535196400014684
,,mocap_run,,1.6086067333817482,baseline,0.0,,,0.07135482877492905,,1.0,audit_cross_domain_it1000_stability,mocap_run__baseline__ts2__it1000__H64,,2.0611558333039284,0.0,0.0,2,53.57403190003242
